序號,學校代碼,公私立,體制,學校名稱,學校英文名稱,職稱,姓名,縣市別,第三級行政區,郵遞區號,學校地址,學校總機,學校傳真,網址
136,1188,私立,技專校院,大同技術學院,Tatung Institute of Technology,校長,"吳柏萱
代理",嘉義市,東區,60005,嘉義市東區彌陀路253號,05-222-3124,05-225-2393,http://www.ttc.edu.tw/
137,1195,私立,一般大學,馬偕學校財團法人馬偕醫學院,MacKay Medical College,校長,李居仁,新北市,三芝區,252005,新北市三芝區中正路3段46號,02-2636-0303,02-2636-1134,http://www.mmc.edu.tw
138,1196,私立,一般大學,法鼓學校財團法人法鼓文理學院,Dharma Drum Institute of Liberal Art,校長,陳定銘,新北市,金山區,208303,新北市金山區西湖里法鼓路700號,02-2498-0707,02-2408-2317,http://www.dila.edu.tw/
139,1282,私立,技專校院,馬偕學校財團法人馬偕醫護管理專科學校,"MacKay Junior College of Medicine, Nursing, and Management",校長,陳裕仁,臺北市,北投區,112021,臺北市北投區聖景路92號,02-2858-4180,02-2858-4183,https://www.mkc.edu.tw/
140,1283,私立,技專校院,仁德醫護管理專科學校,"Jen-Teh Junior College of Medicine, Nursing and Management",校長,黃柏翔,苗栗縣,後龍鎮,35664,苗栗縣後龍鎮溪洲里7鄰砂崙湖79-9號,037-728-855,037-730-936,https://www.jente.edu.tw/
141,1284,私立,技專校院,樹人醫護管理專科學校,Shu-Zen Junior College of Medicine and Management,校長,陳明堂,高雄市,路竹區,82144,高雄市路竹區環球路452號,07-697-9333,07-697-9697,https://www.szmc.edu.tw/
142,1285,私立,技專校院,慈惠醫護管理專科學校,TZU HUI Institute of Technology,校長,張鳳祥,屏東縣,南州鄉,92641,屏東縣南州鄉三民路367號,08-864-7367,08-864-7123,http://www.tzuhui.edu.tw/main/
143,1286,私立,技專校院,耕莘健康管理專科學校,Cardinal Tien Junior College of Healthcare And Management,校長,林淑玟,新北市,新店區,23143,新北市新店區民族路112號,02-2219-1131,02-2219-7718,http://www.ctcn.edu.tw
144,1287,私立,技專校院,敏惠醫護管理專科學校,Min-Hwei Junior College of Health Care Management,校長,葉至誠,臺南市,柳營區,73658,臺南市柳營區中山東路二段1116號,06-622-6111,06-622-6367,https://www.mhchcm.edu.tw/
145,1289,私立,技專校院,育英醫護管理專科學校,Yuh-Ing Junior College of Health Care & Management,校長,蔡榮順,高雄市,三民區,80776,高雄市三民區大昌二路420巷15號,07-381-1765,07-381-1112,http://www.yuhing.edu.tw/
146,1291,私立,技專校院,聖母醫護管理專科學校,"St. Mary´s Junior College of Medicine, Nursing and Management",校長,陳立言,宜蘭縣,三星鄉,26647,宜蘭縣三星鄉三星路二段265巷100號,03-989-7396,03-989-7386,https://www.smc.edu.tw/nss/s/main/p/index
147,1292,私立,技專校院,新生醫護管理專科學校,Hsin Sheng Junior College of Medical Care and Management,校長,駱俊宏,桃園市,龍潭區,32544,桃園市龍潭區中豐路高平段418號,03-411-7578,03-411-7600,https://www.hsc.edu.tw
148,1293,私立,技專校院,崇仁醫護管理專科學校,"Chung-Jen Junior College of Nursing, Health Sciences and Management",校長,周立勲,嘉義縣,大林鎮,62241,嘉義縣大林鎮湖北里大湖1之10號,05-265-8880,05-265-8913,http://www.cjc.edu.tw/
149,1R02,私立,宗教研修學院,學校財團法人中華浸信會基督教台灣浸會神學院,Taiwan Baptist Christian Seminary,校長,譚國才,臺北市,信義區,110019,臺北市吳興街394巷1號,02-2723-9500,02-2722-4646,http://www.tbts.edu.tw/
150,1R03,私立,宗教研修學院,臺北基督學院,Christ''s College Taipei,校長,吳忠宏,新北市,淡水區,251022,新北市淡水區自強路51號,02-2809-7661,02-2809-6631,http://www.cct.edu.tw
151,1R04,私立,宗教研修學院,財團法人一貫道天皇基金會一貫道天皇學院,I-Kuan Tao College,校長,唐宇岳,高雄市,六龜區,844002,高雄市六龜區新寮里三民路81號,07-687-2129,07-687-1938,http://www.iktc.edu.tw/
152,1R05,私立,宗教研修學院,台神學校財團法人台灣神學研究學院,Taiwan Graduate School of Theology,校長,蔡慈倫,臺北市,士林區,111014,台北市士林區仰德大道二段二巷20號,02-2882-2370,02-2881-6940,http://www.tgst.edu.tw
153,1R06,私立,宗教研修學院,一貫道崇德學院,I.K.T. Chong-De School,校長,陸隆吉,南投縣,埔里鎮,545012,南投縣埔里鎮鯉魚路25-8號,049-298-8675,049-298-9314,http://www.iktcds.edu.tw/
154,1R07,私立,宗教研修學院,台灣基督長老教會南神神學院,Tainan Theological College,校長,胡忠銘,臺南市,東　區,701002,臺南市東區東門路一段117號,06-237-1291,06-234-6060,http://www.ttcs.edu.tw/
155,1R08,私立,宗教研修學院,基督教華神學校財團法人中華福音神學研究學院,China Evangelical Graduate School of Theology,校長,戴繼宗,桃園市,八德區,334025,桃園市八德區長安街53號,03-273-7477,03-371-4703,http://wp.ces.org.tw/
156,1R09,私立,宗教研修學院,唯心聖教學院,Weixin Shengjiao College,校長,陳立岳,南投縣,南投市,540022,南投縣南投市文化路705巷667號,049-220-9418,049-220-3351,http://www.wxsjc.edu.tw/
157,3002,公立,一般大學,臺北市立大學,University of Taipei,校長,邱英浩,臺北市,中正區,100234,臺北市中正區愛國西路1號,02-2311-3040,02-2381-4067,http://www.utaipei.edu.tw/
158,3A01,公立,空中大學,高雄市立空中大學,Open University of Kaohsiung,校長,劉嘉茹,高雄市,小港區,812008,高雄市小港區大業北路436號,07-801-2008,07-806-6725,http://www.ouk.edu.tw
